Place,City,Country,Continent,Visitors_per_year_millions,Average_Spend_USD,Rating,Historical_Significance,Popular_Season,World_Ranking
Colosseum,Cusco,USA,Europe,28.88127128210259,984.0329905780175,3.5987088709434834,False,Summer,946
Louvre Museum,Rome,Peru,Asia,63.69536276911098,505.8144323275479,3.027826716121202,True,Spring,779
Taj Mahal,Cusco,India,South America,45.97022441214779,788.3255706737064,4.417652887839759,False,Spring,706
Santorini,New York,France,Asia,37.89297880285876,4839.584189630049,2.328078426652929,True,Spring,741
Disneyland,New York,Italy,Europe,40.4529434253052,3125.8182025261926,2.4109574347789664,False,Winter,162
Taj Mahal,Paris,Greece,North America,28.601552484046106,343.883718585657,2.786398739409594,True,Summer,28
Eiffel Tower,Rome,Canada,North America,76.03194587905008,3117.718628308941,2.331371723745632,True,Fall,328
Statue of Liberty,Paris,Peru,Asia,99.35052005254867,2222.94328070852,4.547695896496567,True,Fall,971
Santorini,Anaheim,China,Europe,10.97747860753036,696.3312568324542,3.7402282296332503,True,Winter,223
Eiffel Tower,Ontario,Italy,Asia,92.57604308975253,4681.202299711075,2.9323331990827874,True,Fall,729
Santorini,Paris,USA,Europe,96.95632202564882,3573.4824073471527,3.4618725559316452,False,Winter,525
Disneyland,New York,Canada,North America,70.1502314657751,2537.396571284214,2.26677454649581,False,Spring,440
Niagara Falls,Beijing,Greece,Europe,12.10146663901965,3310.68035255626,1.5503881544457623,True,Fall,594
Santorini,Paris,Greece,North America,97.98867738479217,3238.9405894731703,2.9430054009435165,False,Spring,975
Niagara Falls,New York,Peru,Europe,24.829579731973986,815.1688158535222,2.5387191772354014,True,Fall,883
Great Wall of China,Paris,USA,North America,6.75689953949208,347.70134936926706,2.166086561147695,False,Spring,437
Colosseum,Cusco,France,Europe,67.72013864984964,2167.5460147466847,4.282470983769376,True,Spring,727
Niagara Falls,Paris,China,Europe,20.479377928994865,2966.439391487839,3.235749362441845,True,Spring,672
Disneyland,Santorini,Peru,South America,92.9126338672144,186.20855258814314,2.4336917022093973,True,Winter,178
Eiffel Tower,Ontario,France,North America,55.33908281442568,4570.39711397379,3.8411050376321043,True,Spring,868
Santorini,Paris,France,North America,17.5634763598967,2850.546511217261,3.2069361444983064,True,Spring,499
Disneyland,Ontario,Peru,North America,46.50436911070309,862.4754064588936,1.1843362200453638,True,Spring,293
Great Wall of China,Agra,France,Asia,90.72353880717415,4255.97158666522,1.3910019623833345,False,Fall,828
Machu Picchu,Rome,France,Asia,57.81547840107223,2702.9431590860004,3.1333087694436834,True,Summer,149
Eiffel Tower,Rome,China,North America,86.51733135584398,1028.6021644955106,1.7089963597766222,False,Winter,425
Disneyland,Ontario,France,Asia,10.754756924746742,1341.72500553691,4.689757926261702,False,Summer,219
Niagara Falls,Agra,France,North America,10.678322057785078,2920.808149198585,3.5205023340729356,True,Summer,38
Colosseum,Anaheim,USA,North America,21.10640818957919,2337.730568865562,3.3490542040252262,True,Summer,966
Louvre Museum,Paris,Italy,Europe,51.13836099955968,2917.1467639959715,3.2562061258771036,False,Spring,172
Louvre Museum,Rome,USA,North America,10.46933858856728,988.8718260293224,1.9885201315544516,True,Winter,130
Niagara Falls,New York,USA,North America,51.3217480720243,4738.163474785138,1.8303499440710636,True,Winter,274
Colosseum,Paris,USA,Asia,94.37937874231277,418.20602991298847,1.5021337435786197,False,Spring,152
Taj Mahal,Ontario,Greece,Europe,46.52644905880602,2705.0950892518836,4.71901913507805,False,Summer,406
Great Wall of China,Anaheim,Peru,North America,77.91214426973237,4470.890153694497,2.2336543653832583,True,Spring,368
Great Wall of China,Anaheim,Greece,South America,38.77548879713541,319.2454996565359,2.634748192924396,True,Spring,25
Niagara Falls,Cusco,India,Europe,10.589534406470014,2281.10035377005,3.843883160126737,True,Summer,60
Colosseum,Santorini,Greece,North America,19.375371926400028,2528.786761359488,4.872610693977244,False,Spring,846
Taj Mahal,Paris,Greece,Europe,43.604692682085016,1690.7208814087799,1.3861859760185538,False,Fall,588
Disneyland,Paris,Greece,South America,7.00451103628938,2390.2847519203697,3.977598534974666,True,Spring,769
Colosseum,Agra,Peru,Asia,37.58902090933662,1854.7017091250661,3.2096531585095813,False,Fall,523
Disneyland,Rome,China,Europe,78.56050014931806,1589.2314361384156,1.4415458578008238,False,Spring,583
Colosseum,New York,USA,Europe,74.43162707159452,3528.268681450307,4.7806863446099905,False,Summer,379
Eiffel Tower,New York,Greece,Asia,56.92614650710134,4174.715093002055,1.6636293652426155,True,Spring,737
Niagara Falls,Paris,China,Asia,81.1187864642202,4892.8891636358185,1.6549540169991017,True,Spring,578
Santorini,New York,France,North America,18.284870327296886,2909.906840459152,1.327112425555538,False,Spring,278
Taj Mahal,Santorini,France,South America,33.13502298020461,3786.8536627657695,3.8757456042548455,False,Spring,490
Taj Mahal,Cusco,Italy,Europe,54.754796238497164,1220.6101295588558,1.320377326768405,True,Spring,121
Niagara Falls,Anaheim,France,South America,54.41093087576609,1434.8022813611958,3.1438600771291316,False,Spring,994
Taj Mahal,Paris,Canada,Asia,27.718725721357696,1300.8538749348522,2.563145172362674,True,Summer,585
Eiffel Tower,Agra,France,Europe,11.891135953120795,2021.1672922808543,2.5561676990706466,True,Summer,413
Santorini,Beijing,Italy,North America,18.069809831938965,1322.668772586888,1.9055725523799594,True,Fall,375
Colosseum,Cusco,Peru,North America,79.56916307543526,1855.4815161138306,2.6887981365224367,False,Spring,163
Statue of Liberty,Beijing,Greece,Europe,92.99510757382136,481.9593144344964,4.671049606514902,True,Summer,773
Statue of Liberty,Beijing,Italy,Asia,46.29299125011639,4089.4890732424665,3.8688102365389963,True,Fall,755
Niagara Falls,Agra,France,Europe,73.11734189445203,2262.7555982810445,3.5841216600216876,False,Spring,767
Great Wall of China,Agra,Greece,North America,31.530099406680517,488.947830614766,3.024060219766169,True,Spring,807
Santorini,Rome,China,North America,55.55396461587767,106.25097835462006,3.7628437818778675,True,Fall,647
Santorini,Anaheim,Peru,Europe,98.08621239515584,2508.7805858029164,2.7420259889045386,True,Spring,981
Colosseum,Cusco,China,Asia,58.99448555598895,1252.8093900845229,4.519807387537382,True,Summer,184
Great Wall of China,Agra,Canada,Europe,40.5210847485149,4739.224443848536,2.811686041927879,True,Fall,799
Santorini,Paris,Peru,Europe,55.86130940600321,1772.3468135277903,4.3143411265858695,True,Spring,513
Taj Mahal,Paris,Italy,Asia,41.03129739142437,3133.70214769653,4.56945457782408,True,Fall,494
Great Wall of China,Beijing,Canada,Europe,73.12951734211548,4864.334315544923,2.34674337055312,True,Summer,937
Louvre Museum,Paris,Italy,Asia,19.513020592098037,4467.287290348068,2.3130301432594806,True,Summer,762
Great Wall of China,Cusco,India,Europe,43.301656116359105,3824.3465323311334,4.741963998450772,False,Winter,878
Niagara Falls,Beijing,France,Asia,82.61388725049045,4992.529586279603,2.4718649072125753,True,Spring,140
Statue of Liberty,Rome,Italy,North America,34.48936850024607,4075.4353041897766,1.8855825599475504,True,Summer,863
Eiffel Tower,Cusco,India,Europe,86.83502399311983,3932.8935814258566,4.752373644699038,True,Spring,174
Disneyland,Rome,Canada,Asia,92.40550311485505,3232.7680521301822,4.43230478216555,False,Summer,695
Disneyland,Rome,Greece,North America,86.83687330756626,1368.087624706551,4.218572761478788,True,Winter,42
Niagara Falls,Agra,India,Asia,85.46561600510636,4343.354262423754,4.340513515161892,False,Summer,720
Santorini,Agra,China,Europe,99.5552025798501,1819.980848530537,3.7902233823542817,False,Spring,576
Niagara Falls,New York,China,North America,63.96887348679899,3271.8466237931493,4.625776109891782,False,Fall,55
Colosseum,Beijing,Italy,North America,43.905885457891685,2705.339860489635,1.5824752609685522,True,Spring,635
Louvre Museum,Beijing,Peru,Europe,14.5479462387606,118.80910060158816,3.2571442563271535,False,Summer,967
Disneyland,Agra,USA,North America,56.44222368366634,2259.1850364187026,1.9520389607025068,True,Summer,204
Statue of Liberty,Cusco,USA,Asia,8.605151213920275,738.6014478390498,2.6449377290397864,False,Summer,347
Taj Mahal,Cusco,Italy,North America,19.173985174214263,4969.5584750023745,4.758516253118751,False,Fall,580
Statue of Liberty,Cusco,India,North America,43.21847661895779,4165.487347994262,3.6028227130770327,True,Fall,45
Great Wall of China,Beijing,USA,North America,55.74270606072395,2656.8473940773197,4.759566646318866,True,Spring,662
Machu Picchu,Paris,Italy,Europe,96.25153906216526,1699.0738420839618,2.3500176119728478,True,Fall,876
Disneyland,Santorini,Canada,Europe,90.6767968524399,2528.880853874258,3.8945823551807828,False,Spring,351
Machu Picchu,Rome,China,Asia,49.67169843973287,162.20291767577737,2.781735404370802,True,Spring,131
Louvre Museum,New York,Greece,Europe,42.19202751189216,405.36153655574486,2.57305806768368,False,Summer,615
Disneyland,Paris,France,Europe,43.188858032853084,4877.782978972678,1.2481701068617421,False,Summer,792
Colosseum,Anaheim,Canada,North America,26.2873164718613,277.7984339533781,3.4512819730507998,False,Spring,480
Louvre Museum,Anaheim,China,Europe,63.15298458057245,1889.996785460639,1.9515278111247367,True,Spring,3
Machu Picchu,Rome,France,North America,91.69986334428135,2103.569323497536,2.902675318531295,False,Spring,819
Colosseum,Santorini,Greece,South America,27.760281301220175,821.3596132231902,1.0006490884747925,False,Spring,100
Louvre Museum,Beijing,Greece,Europe,37.74827032815085,4486.549729429131,2.224256179630376,False,Winter,512
Taj Mahal,Santorini,France,North America,43.69208453497791,3574.6133670879117,4.844689234166674,True,Fall,968
Louvre Museum,Santorini,China,Asia,98.21922829237873,622.3238326731994,4.533493781347207,True,Spring,624
Santorini,Paris,USA,North America,81.63576186775971,1069.2736709830265,1.6214538648641548,True,Spring,578
Disneyland,Paris,Italy,Asia,64.32706997032267,1813.5967823678818,4.192546877512989,True,Spring,754
Eiffel Tower,Cusco,China,Asia,87.5322719383583,480.5712494842841,3.4838000528383017,True,Summer,932
Great Wall of China,Beijing,Peru,Asia,87.3668037832875,1046.9671674388683,2.102728068510405,True,Summer,963
Niagara Falls,Cusco,Peru,Europe,79.81375862196091,1325.099184345591,4.168521827648055,False,Summer,61
Louvre Museum,Anaheim,Peru,North America,95.60723798029613,184.5460251021029,4.96473943025531,False,Fall,969
Statue of Liberty,Paris,Canada,Asia,13.024832939732839,4655.505265670762,2.11037653455243,False,Summer,390
Taj Mahal,Paris,USA,South America,99.15173743950069,3501.0173307567684,3.0043045008657274,False,Spring,732
Colosseum,Paris,India,Europe,62.42542315335238,3500.2008425044623,2.8368841980940847,True,Fall,205
Santorini,Beijing,India,Europe,34.18818459729588,4712.6398798477785,1.629611199457139,True,Spring,857
Louvre Museum,New York,Canada,North America,43.9065127997736,1376.1716243461126,3.574308076249097,False,Fall,491
Statue of Liberty,Beijing,Canada,North America,19.546745196127905,2899.254553306586,4.333287069418441,True,Winter,235
Disneyland,Cusco,China,South America,76.46307814765972,3945.084665695882,3.096485900266389,False,Spring,797
Taj Mahal,Anaheim,Canada,South America,98.57579654970186,2103.7760568324734,4.225755635184434,False,Spring,676
Statue of Liberty,Agra,Greece,North America,95.12043280034887,4372.713452922283,1.9085903131278386,True,Spring,487
Statue of Liberty,New York,Peru,South America,47.586333806189316,1927.3248758974476,1.3430238683170805,True,Fall,761
Niagara Falls,Ontario,China,North America,36.94703402983501,1691.4218928659275,1.711483607123791,True,Spring,610
Taj Mahal,Paris,China,North America,14.897320366017224,216.38284517498042,1.6587712434480966,False,Fall,494
Disneyland,Ontario,Italy,North America,8.481351159187685,1275.0026920768762,4.82342950292959,False,Summer,656
Santorini,Cusco,China,Asia,43.368589876071994,4453.686829397313,1.4846699184595074,False,Fall,420
Taj Mahal,New York,France,Europe,14.802484746512233,4400.161564468125,1.052135074792731,True,Spring,844
Niagara Falls,Santorini,Peru,Europe,89.60771932029203,518.9529555946726,3.4240057694948205,False,Summer,452
Eiffel Tower,Rome,USA,Europe,2.173879691211167,525.5287578150935,4.039584766980246,True,Fall,428
Great Wall of China,Beijing,India,Europe,3.469362327764923,3563.8094733435696,1.30894205884867,False,Spring,350
Taj Mahal,Paris,USA,Europe,74.64618742364796,230.25067428449518,3.7412821135084933,False,Summer,456
Niagara Falls,Santorini,Greece,North America,71.19989359110474,3389.267655538593,1.379532534745632,False,Spring,771
Eiffel Tower,Ontario,Italy,North America,84.37959283978611,4409.0106590439245,4.942781775220728,True,Spring,29
Santorini,Anaheim,Peru,Asia,73.52351809535506,3774.767175656391,3.491451106007724,True,Spring,745
Disneyland,Paris,USA,Europe,44.52380258735565,2415.8459753973175,1.6847847044030893,True,Spring,760
Eiffel Tower,Paris,USA,Asia,37.41033165727525,2381.551837860464,1.1445590150658598,False,Summer,496
Taj Mahal,Anaheim,Canada,Europe,44.69199192288712,1207.2777493766225,1.8038370109392763,True,Summer,330
Great Wall of China,Beijing,Peru,Europe,43.837532832932226,4240.852174177859,2.612057892234982,True,Fall,192
Machu Picchu,Santorini,France,Europe,78.74523905218953,4990.851750197886,2.1512134627581116,True,Winter,565
Colosseum,Rome,Greece,Asia,42.260556611646635,1940.4300541007256,4.3641985127297565,True,Spring,692
Statue of Liberty,Ontario,USA,Europe,27.52773296804385,2313.0095449552305,1.5503262526006116,False,Summer,467
Machu Picchu,Agra,France,North America,74.78129084832331,2291.8811190988617,1.4814850593095295,True,Fall,656
Machu Picchu,Rome,Greece,Europe,48.151353948814084,1725.198046652303,1.458455741961509,True,Spring,395
Disneyland,Cusco,Peru,Europe,98.65685402098119,1295.5713480165496,3.4622739248111594,True,Spring,311
Santorini,Rome,Greece,North America,80.62470445134106,1737.6557059695251,2.257641558979161,True,Summer,127
Eiffel Tower,Santorini,India,North America,46.245104045759845,2467.9800856093466,2.0220426584410327,False,Fall,20
Eiffel Tower,Anaheim,China,North America,87.0806420001036,3826.6540964557908,2.3994920317882755,False,Fall,539
Niagara Falls,Anaheim,France,North America,58.92406769244698,3802.8357712292304,3.8420144483717706,True,Summer,892
Colosseum,Anaheim,Italy,Europe,96.51271695298942,3611.6421098544092,3.6811029654402527,True,Spring,518
Colosseum,Agra,Peru,North America,87.5229603038833,4022.4973884058063,3.200517137932722,True,Fall,750
Statue of Liberty,Paris,Greece,Europe,26.416506924236298,1000.159937133908,2.9051551167756364,False,Spring,183
Louvre Museum,New York,France,Europe,98.42767184434585,461.9719913385649,2.314049262511084,True,Summer,266
Disneyland,Ontario,Canada,North America,51.47789689866869,4185.5066232491135,2.484745367891593,False,Spring,95
Machu Picchu,Rome,Greece,Europe,50.32375897420695,3836.6343498292713,2.335835867811452,True,Fall,517
Santorini,Agra,Canada,Asia,95.16480737680135,57.17858693955932,3.5654627931819185,True,Spring,991
Niagara Falls,Beijing,USA,North America,19.035084288411905,4783.115796198175,1.8734078797023295,True,Fall,67
Louvre Museum,Anaheim,USA,Europe,94.57184417207158,4141.444151246373,4.77697659450539,False,Spring,626
Statue of Liberty,Ontario,France,South America,82.1844774068652,1133.0682397807102,4.515696113286852,True,Summer,726
Santorini,Agra,India,Europe,38.014145134130125,1152.948731622073,4.169837819244814,False,Spring,905
Statue of Liberty,Santorini,Italy,Asia,93.51714893758638,293.4107601603219,1.273116333465505,True,Summer,295
Disneyland,Cusco,Italy,South America,57.204952771272005,4995.916019349544,4.468820071334942,False,Spring,642
Eiffel Tower,Paris,China,Europe,53.189099472505156,1917.491981435939,4.2737175501911135,False,Spring,343
Taj Mahal,Paris,Greece,Europe,7.4602187450349335,4414.727483608568,3.8084433117441656,False,Winter,898
Statue of Liberty,Santorini,Greece,Europe,62.24874365675631,706.009063997148,2.5173382077170623,False,Fall,767
Colosseum,Beijing,Peru,Europe,32.88065922276544,2814.0742027984347,4.93778732044913,False,Winter,902
Eiffel Tower,Anaheim,Greece,North America,20.017178800962906,227.96838827038368,3.2008714651935537,False,Spring,726
Taj Mahal,New York,India,South America,51.025031647791344,4234.210366029866,4.609613135596619,False,Spring,253
Great Wall of China,Rome,China,North America,24.32421423459887,1160.4592056344372,4.9367634211455105,True,Summer,374
Taj Mahal,Anaheim,France,North America,16.411184242092943,3725.6807200033522,2.056765629521284,False,Fall,280
Great Wall of China,Rome,Italy,North America,51.27594037278994,4530.537953194116,4.979569338239461,True,Summer,730
Niagara Falls,Paris,China,Europe,53.64072197397312,2433.470201058587,4.227598357640979,True,Fall,569
Santorini,Paris,Peru,North America,46.118819571910294,3449.7914354900577,2.1307893977670203,True,Summer,629
Louvre Museum,Paris,Italy,Asia,48.348216574807466,2308.832478800503,4.915291957843156,True,Spring,93
Louvre Museum,New York,France,Asia,19.251431390374716,4547.751175677318,3.1961272373058534,False,Spring,659
Statue of Liberty,Rome,Greece,South America,52.47252268745128,85.26154901766111,1.580017207703826,True,Fall,570
Colosseum,Anaheim,France,North America,35.46810638543685,262.4992423151638,2.3883853493535634,True,Summer,245
Eiffel Tower,New York,China,Europe,23.303267252184952,4927.916189680485,1.6266649275781138,False,Spring,545
Disneyland,Paris,France,South America,30.13256025016035,3951.2215337256516,4.822870780429005,False,Fall,171
Louvre Museum,Santorini,China,North America,38.40970909176839,2012.5632852338279,3.5978023197558815,False,Summer,749
Colosseum,Agra,France,Europe,34.73859525835923,1562.937333484117,1.517392437614252,True,Summer,188
Louvre Museum,Paris,Greece,Europe,13.067704346743133,3786.9631920758466,3.019134453996915,False,Summer,134
Eiffel Tower,Santorini,France,South America,40.07847726268014,4726.619680836901,3.076468246975092,False,Summer,989
Machu Picchu,New York,Greece,Europe,23.858712014964976,4934.187497035654,4.441984238073907,False,Spring,56
Colosseum,Santorini,USA,South America,96.2514357760994,4416.996908793147,2.0992217241744062,True,Winter,486
Niagara Falls,New York,China,North America,5.879611350681559,2258.201799757375,1.958013438899258,True,Spring,380
Niagara Falls,Rome,USA,Europe,20.709671180142703,3649.0676098454196,4.3670324120010875,False,Summer,694
Statue of Liberty,Beijing,France,Asia,22.412941208501024,2452.9637798902822,1.3394019577677532,False,Summer,293
Eiffel Tower,Anaheim,China,North America,87.82852642154462,4491.871548326159,4.156922174927844,False,Spring,454
Colosseum,Ontario,France,North America,83.69532408857474,480.2142986816619,1.786405679106819,False,Fall,288
Louvre Museum,Anaheim,France,Asia,87.5372172286783,1332.9617060897722,2.36987115796442,True,Spring,347
Louvre Museum,Cusco,Canada,Europe,69.51336108233463,577.9726531288978,1.185901169374758,False,Summer,174
Disneyland,Santorini,China,Asia,37.030517523292744,1384.8645904871203,2.1514929340891538,True,Spring,756
Santorini,Agra,China,North America,33.10441342137984,2383.214061632223,2.8753769229323063,False,Summer,136
Disneyland,Beijing,Canada,Europe,3.607462612890009,2185.8123618771606,4.892155973807412,True,Spring,424
Disneyland,New York,France,North America,86.54350950282505,3438.4966939901497,4.257934675835877,True,Spring,233
Statue of Liberty,Paris,China,Asia,83.41065003903911,2860.0408172897473,2.2020450559808897,False,Spring,988
Niagara Falls,New York,Greece,North America,60.62770736449525,756.8314004585886,1.5496734030217683,True,Spring,551
Great Wall of China,Anaheim,Canada,North America,99.4952046566582,2076.336230422459,1.9568510872434701,False,Spring,432
Taj Mahal,Agra,China,Asia,5.781995095058662,3555.1576885711165,4.6192596801800825,True,Fall,803
Niagara Falls,Paris,France,North America,3.2987491093436407,475.9582438947912,2.9717390378509525,False,Spring,898
Colosseum,Ontario,Peru,Europe,94.9986619007015,3359.3369456275123,1.5030779459937498,True,Winter,868
Taj Mahal,Ontario,France,Asia,80.070156677512,2621.8093108256844,1.4017090238132548,False,Spring,22
Eiffel Tower,New York,India,Asia,50.39803609594313,135.87112337831684,2.472709837247773,False,Summer,591
Eiffel Tower,New York,Peru,Europe,78.74081087432658,4662.186632964547,3.074134466423967,True,Summer,769
Niagara Falls,New York,Canada,Europe,24.6059312927092,1792.1259060047907,4.747275297476735,True,Summer,886
Machu Picchu,Beijing,Italy,Asia,14.088072320996492,4396.643202340481,4.49058875765048,True,Summer,950
Statue of Liberty,Agra,Peru,North America,74.26204439422719,1232.994213155137,4.036737867581994,True,Fall,929
Santorini,New York,USA,Europe,18.94544865927902,1678.2160615029609,2.193789553260868,False,Spring,651
Niagara Falls,Santorini,France,Europe,95.93723672294587,3779.6959329754136,2.9556025021960894,True,Spring,33
Louvre Museum,Cusco,Greece,Europe,26.36814862372448,708.0745733403514,1.790698807091645,True,Spring,309
Great Wall of China,Ontario,China,North America,58.66493879987618,2655.2833049419532,2.4666826189195956,False,Spring,218
Colosseum,Santorini,Peru,Europe,53.27056396135998,3518.7134916275922,4.358150335809132,False,Fall,444
Statue of Liberty,Santorini,India,Europe,57.04097341389263,1135.6407781880525,4.227651221959134,False,Summer,932
Statue of Liberty,Agra,France,Asia,33.94194628154112,1277.874053018268,2.5124287869036324,False,Summer,913
Machu Picchu,Anaheim,France,North America,81.84323432869031,4627.909725950141,4.613119430613011,True,Spring,506
Louvre Museum,Cusco,Greece,Asia,57.49809558419067,508.4419526826319,3.0828243459866687,True,Spring,176
Colosseum,Ontario,Canada,Europe,47.792055643416795,678.8379697445058,3.412699668183124,False,Fall,76
Statue of Liberty,Rome,Greece,Asia,36.537755664134146,4607.619237696258,2.8009025335312034,True,Summer,307
Disneyland,Rome,Canada,Europe,75.43310319675365,4737.014954826191,3.890860332097273,False,Summer,9
Great Wall of China,Anaheim,France,Europe,51.90135205911021,4487.146465770175,1.3226345533670663,True,Summer,11
Taj Mahal,New York,China,Asia,64.2517746617018,1550.403483826509,2.8745370516354214,False,Summer,697
Louvre Museum,Anaheim,India,North America,70.87921881560452,3968.099123247355,1.4698437093818795,False,Winter,915
Santorini,Beijing,Italy,Europe,17.365623165883427,204.53962819227218,3.6466513474191626,False,Fall,355
